Classes,Q2. Injuries?,Q3. Physical Assessment,,,,"Q4. ""I am ...""","Q5. Physical
Intensity",Q6. Chill or Dynamic
,,"Q3a.Cherry
Picker","Q3b.Cross Arm
Twist","Q3c.Step
Back Lounge",Q3d. Balance,,,
Yoga 101,"Yes, No",Hard,"Hard, Medium","Hard, Medium","Yes, No","Body, Consciousness, Nothing",Easy,Chill
Transformative,No,"Easy, Medium",Easy,Easy,Yes,"Consciousness, Soul",Hard,Dynamic
Conditioning,No,Medium,Medium,"Medium, Hard",Yes,"Body,Consciousness , Nothing",Hard,Dynamic
Sunshine,No,"Easy, Medium, Hard","Easy, Medium, Hard","Easy, Medium",Yes,"Consciousness, Soul, Body,",Medium,Dynamic
Restorative,"Yes, No",Hard,Hard,Hard,No,"Consciousness, Soul, Body, Nothing",Medium,Chill
Yoga Nidra,"Yes, No","Easy, Medium, Hard","Easy, Medium, Hard","Easy, Medium, Hard","Yes, No","Consciousness, Soul","Easy, Medium, Hard",Chill
AfroBounce,No,Easy,Easy,Easy,Yes,"Body, soul, Consciousness Nothing",Hard,Dynamic
Dance 101,No,"Easy, Medium, Hard","Easy, Medium","Easy, Medium, Hard",Yes,"Body, soul, Consciousness Nothing","Easy, Medium, Hard","Chill, Dynamic"
Intermediate Dance ,No,Easy,Easy,"Easy, Medium",Yes,"Body, soul, Consciousness Nothing","Easy, Medium, Hard",Dynamic
Advanced Dance,No,Easy,Easy,Easy,Yes,"Body, soul, Consciousness Nothing",Hard,Dynamic